Round,Team,AveragePitStop
1,McLaren,1.329
1,Red Bull Racing,1.3980000000000001
1,Haas F1 Team,1.45
1,Mercedes,1.47
1,Ferrari,1.5
1,Racing Bulls,1.509
1,Kick Sauber,1.518
1,Alpine,1.542
1,Aston Martin,1.582
1,Williams,1.6010000000000002
2,Ferrari,2.23
2,Red Bull Racing,2.245
2,Mercedes,2.25
2,Haas F1 Team,2.2960000000000003
2,Alpine,2.2969999999999997
2,Aston Martin,2.3
2,Kick Sauber,2.304
2,Williams,2.304
2,McLaren,2.308
2,Racing Bulls,2.567
3,McLaren,2.3129999999999997
3,Ferrari,2.314
3,Williams,2.322
3,Kick Sauber,2.347
3,Racing Bulls,2.35
3,Mercedes,2.378
3,Red Bull Racing,2.429
3,Aston Martin,2.435
3,Haas F1 Team,2.465
3,Alpine,2.471
4,Kick Sauber,2.4219999999999997
4,Mercedes,2.436
4,Ferrari,2.446
4,Aston Martin,2.472
4,Haas F1 Team,2.476
4,Alpine,2.497
4,Williams,2.5
4,Racing Bulls,2.505
4,McLaren,2.641
4,Red Bull Racing,2.7030000000000003
5,Ferrari,2.0140000000000002
5,Mercedes,2.036
5,Racing Bulls,2.068
5,McLaren,2.091
5,Alpine,2.105
5,Kick Sauber,2.1149999999999998
5,Aston Martin,2.119
5,Haas F1 Team,2.18
5,Williams,2.314
5,Red Bull Racing,2.603
6,Alpine,2.206
6,McLaren,2.2079999999999997
6,Kick Sauber,2.215
6,Williams,2.216
6,Racing Bulls,2.228
6,Red Bull Racing,2.253
6,Ferrari,2.2640000000000002
6,Aston Martin,2.2960000000000003
6,Haas F1 Team,2.316
6,Mercedes,2.432
7,Red Bull Racing,2.982
7,Racing Bulls,3.004
7,Mercedes,3.02
7,Williams,3.04
7,Ferrari,3.049
7,Kick Sauber,3.056
7,Aston Martin,3.069
7,McLaren,3.069
7,Alpine,3.127
7,Haas F1 Team,3.9560000000000004
8,Ferrari,2.3609999999999998
8,Williams,2.42
8,Racing Bulls,2.4219999999999997
8,Red Bull Racing,2.432
8,Alpine,2.441
8,McLaren,2.448
8,Aston Martin,2.468
8,Kick Sauber,2.689
8,Haas F1 Team,3.128
9,Ferrari,2.19
9,Racing Bulls,2.19
9,Mercedes,2.191
9,Red Bull Racing,2.193
9,Kick Sauber,2.214
9,McLaren,2.216
9,Alpine,2.221
9,Haas F1 Team,2.2329999999999997
9,Aston Martin,2.2510000000000003
9,Williams,3.035
10,McLaren,2.3280000000000003
10,Ferrari,2.354
10,Mercedes,2.356
10,Williams,2.3579999999999997
10,Kick Sauber,2.3600000000000003
10,Racing Bulls,2.37
10,Red Bull Racing,2.397
10,Haas F1 Team,2.4010000000000002
10,Alpine,2.436
10,Aston Martin,2.482
11,Red Bull Racing,-461168600.768
11,Williams,2.121
11,Kick Sauber,2.131
11,Ferrari,2.132
11,Racing Bulls,2.147
11,Mercedes,2.16
11,McLaren,2.18
11,Alpine,2.205
11,Haas F1 Team,2.229
11,Aston Martin,2.239
12,Racing Bulls,2.852
12,Alpine,2.869
12,Aston Martin,2.875
12,Mercedes,2.88
12,Ferrari,2.904
12,Williams,2.915
12,Haas F1 Team,2.928
12,Kick Sauber,2.984
12,McLaren,3.006
12,Red Bull Racing,3.164
13,Racing Bulls,2.341
13,Mercedes,2.343
13,Ferrari,2.354
13,Kick Sauber,2.359
13,Aston Martin,2.363
13,Haas F1 Team,2.397
13,McLaren,2.411
13,Red Bull Racing,2.462
13,Alpine,2.465
13,Williams,2.511
14,McLaren,2.101
14,Ferrari,2.114
14,Red Bull Racing,2.138
14,Racing Bulls,2.162
14,Williams,2.179
14,Aston Martin,2.183
14,Mercedes,2.183
14,Haas F1 Team,2.21
14,Kick Sauber,2.4050000000000002
14,Alpine,2.6079999999999997
